,date,count, value
163,2010-09-07,6135,10340.69
164,2010-10-05,1773,10944.72
165,2013-03-06,1618,14296.24
166,2013-06-12,1404,14995.23
167,2016-08-08,1375,18529.29
168,2016-12-12,1404,19796.43
169,2010-09-08,5041,10387.01
170,2010-10-06,1866,10967.65
171,2013-03-07,3037,14329.49
172,2016-08-09,1374,18533.05
173,2008-12-08,1543,8934.18
174,2009-10-05,1290,9599.75
175,2010-09-09,5835,10415.24
176,2010-10-07,2095,10948.58
177,2013-03-08,3094,14397.07
178,2016-07-01,2286,17949.37
179,2008-12-09,1809,8691.33
180,2009-09-08,1500,9497.34
181,2009-10-06,1548,9731.25
182,2010-10-08,1826,11006.48
183,2009-09-09,1652,9547.22
184,2009-10-07,1949,9725.58
185,2010-08-02,3246,10674.38
186,2013-02-01,1216,14009.79
187,2009-10-08,1403,9786.87
188,2010-08-03,3906,10636.38
189,2008-11-03,1979,9319.83
190,2009-10-09,1625,9864.94
191,2010-08-04,4546,10680.43
192,2014-12-01,1424,17776.8
193,2016-07-05,2488,17840.62
194,2008-11-04,1886,9625.28
195,2009-08-03,1271,9286.56
196,2010-08-05,4250,10674.98
197,2013-02-04,1191,13880.08
198,2013-05-10,1539,15118.49
199,2014-12-02,1991,17879.55
200,2015-01-12,3578,17640.84
201,2016-07-06,1351,17918.62
202,2016-11-10,1300,18807.88
203,2008-11-05,1696,9139.27
204,2009-08-04,1466,9320.19
205,2010-08-06,4161,10653.56
206,2010-12-10,1904,11410.32
207,2013-02-05,1753,13979.3
208,2014-12-03,2480,17912.62
209,2016-07-07,1546,17895.88
210,2016-11-11,1341,18847.66
211,2008-11-06,2163,8695.79
212,2009-08-05,1738,9280.97
213,2013-02-06,1734,13986.52
214,2014-12-04,1470,17900.1
215,2016-07-08,1998,18146.74
216,2008-11-07,2257,8943.81
217,2009-08-06,1432,9256.26
218,2009-12-10,1347,10405.83
219,2013-02-07,1619,13944.05
220,2014-12-05,2367,17958.79
221,2009-08-07,1481,9370.07
222,2009-12-11,1320,10471.5
223,2010-08-09,4743,10698.75
224,2013-02-08,4024,13992.97
225,2016-06-01,1318,17789.67
226,2008-09-02,1463,11516.92
227,2010-07-01,1537,9732.53
228,2016-06-02,1581,17838.56
229,2008-09-03,1294,11532.88
230,2008-10-01,2481,10831.07
231,2010-07-02,1073,9686.48
232,2014-12-08,1791,17852.48
233,2016-06-03,1676,17807.06
234,2008-09-04,1495,11188.23
235,2008-10-02,1141,10482.85
236,2009-07-01,1645,8504.06
237,2013-01-02,1925,13412.55
238,2014-12-09,3141,17801.2
239,2008-09-05,1843,11220.96
240,2008-10-03,1398,10325.38
241,2009-07-02,3684,8280.74
242,2013-01-03,1686,13391.36
243,2013-01-04,1388,13435.21
244,2013-04-10,2712,14802.24
245,2016-06-06,1460,17920.33
246,2016-09-12,1233,18325.07
247,2016-10-10,1162,18329.04
248,2010-07-06,1388,9743.62
249,2010-11-10,1442,11357.04
250,2013-04-11,2121,14865.14
251,2014-11-03,1306,17366.24
252,2016-06-07,1402,17938.28
253,2016-10-11,1437,18128.66
254,2008-09-08,1542,11510.74
255,2008-10-06,1555,9955.5
256,2010-07-07,1456,10018.28
257,2010-11-11,1546,11283.1
258,2013-04-12,2729,14865.06
259,2014-11-04,1431,17383.84
260,2016-06-08,1781,18005.05
261,2016-10-12,1395,18144.2
262,2008-09-09,2266,11230.73
263,2008-10-07,1550,9447.11
